trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-585.0363161234235,"{0: 73, 1: 11, 2: 22, 3: 7, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-528.9825701354899,"{0: 78, 1: 9, 2: 17, 3: 10, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-14,-91.51540173274545,"{0: 33, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,18,-64.90907464372727,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-100,-270.7418535073977,"{0: 88, 1: 4, 2: 22, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-7,-92.86638555290723,"{0: 23, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-32,-139.8587217719488,"{0: 40, 1: 6, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-100,-194.59520958230613,"{0: 95, 1: 9, 2: 11, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-5.928606844387247,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-50,-33.01093128250401,"{0: 61, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-47,-91.63007547322708,"{0: 57, 1: 2, 2: 2, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-37.366762288705836,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,3,14.485824460853433,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-52,-0.33320517829584784,"{0: 68, 1: 0, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-4,20.25315167152451,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,16,19.584877896625457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-10,67.85753633182672,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,15.947517462472344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-10,50.5785450552547,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-26,73.70005765905498,"{0: 50, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,-6,43.3082277884342,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,17,15.134915399835613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,12,29.079085890915653,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,-16,81.02404273144901,"{0: 46, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,6,21.349270043276174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,9,35.113635197762235,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,-13,53.33505451912306,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,41.67463474268143,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,-16,16.848947042530575,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,6,11.480930130104483,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
