trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9999995000000417}",25,0,-152.05984143325313,"{0: 17, 1: 3, 2: 0, 3: 2, 4: 3}",0
2,False,"{'a': 0.001, 'e': 0.9999980000006666}",20,0,-117.70963615125373,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.999995500003375}",30,0,-156.8701847577694,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-85.15699913126566,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-103.90757696985845,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.999982000054}",25,0,-179.6781527193789,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.001, 'e': 0.9999755001000415}",25,0,-118.54818067264871,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9999680001706663}",20,0,-64.62407090404052,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9999595002733742}",25,0,-68.63570992137359,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9999500004166653}",20,0,-195.94296251890884,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.001, 'e': 0.9999395006100392}",20,0,-98.39019268613038,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9999280008639958}",25,0,-118.53383953726079,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9999155011900349}",20,0,-35.79234529066516,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9999020016006562}",25,15,-6.939269466319768,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.001, 'e': 0.9998875021093592}",20,0,-75.22337234208545,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9998720027306434}",25,0,-136.21854465903715,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9998555034800082}",25,0,-222.74823049710176,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
18,False,"{'a': 0.001, 'e': 0.9998380043739528}",25,0,-116.33221953580447,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9998195054299763}",20,0,-206.6928648888727,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.001, 'e': 0.9998000066665778}",25,0,-125.51041430383536,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9997795081032559}",30,0,-244.88604994583403,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
22,False,"{'a': 0.001, 'e': 0.9997580097605092}",30,0,-187.39300199735027,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
23,False,"{'a': 0.001, 'e': 0.9997355116598361}",25,0,-118.76798490814191,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9997120138237345}",25,0,-83.08003154703829,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.9996875162757026}",25,0,-82.48899186882238,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9996620190402377}",20,0,-67.44974934981092,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.9996355221428369}",20,0,-48.373139661423984,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
28,False,"{'a': 0.001, 'e': 0.9996080256099974}",25,0,-126.9575753729369,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9995795294692156}",20,0,-44.88103054244556,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9995500337489875}",20,0,-56.67948231332098,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.001, 'e': 0.999519538478809}",20,0,-95.59024530381319,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
32,False,"{'a': 0.001, 'e': 0.9994880436891754}",25,0,-65.58862270313243,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9994555494115813}",20,0,-85.94050439687301,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.001, 'e': 0.9994220556785212}",20,0,-19.226552191448604,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9993875625234886}",20,0,-120.74893044625016,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.001, 'e': 0.9993520699809768}",20,0,-80.69727678922811,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.9993155780864782}",20,0,-118.22109913678803,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.001, 'e': 0.9992780868764849}",20,8,-26.464796061621186,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.001, 'e': 0.999239596388488}",20,0,-9.416375507258538,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9992001066609779}",20,0,-61.83899651989218,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9991596177334445}",20,0,-68.45678017811584,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9991181296463766}",20,0,-150.28879082063926,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.001, 'e': 0.9990756424412622}",20,0,-160.53052359338687,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.001, 'e': 0.9990321561605888}",25,0,-121.8810835552076,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9989876708478425}",20,0,-19.45731942678143,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9989421865475084}",30,8,-152.25640605352152,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 2}",1
47,False,"{'a': 0.001, 'e': 0.9988957033050712}",30,0,-176.29773923664786,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
