trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-70.65146892422993,"{0: 6, 1: 1, 2: 3, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.89955044313146,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.50302293741098,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.52491176769686,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.35510209535757,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.3600696613737,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-295.53618652922125,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.38534975959445,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.50242784856005,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.86303510844677,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,14,8.20982813697699,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,2,-155.07639880488887,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.88704840710506,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.15360013921705,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-237.39070895435157,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,19,-1.8562082379570404,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.36760547081104,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.01398990258251,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.38109939564202,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.52861521301648,"{0: 14, 1: 1, 2: 10, 3: 4, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.97929002703339,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.2881547345822,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.38487044483617,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.52746343160752,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.1457201073752,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-289.32176772555584,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-275.21058310858155,"{0: 7, 1: 3, 2: 3, 3: 2, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.03360633976146,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.48547959740515,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.24863062719572,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
